obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"726.2540"	"0.0010"	"726.2537+"	"20"	""		"78956.031"	"92721.530"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"2"		""	"L4739"	
"726.6490"	"0.0010"	"726.6492+"	"25"	""		"78956.031"	"92714.038"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"1"		""	"L4739"	
"728.3961"	"0.0002"	"728.3962+"	"40"	""		"77185.041"	"90910.052"	"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).4f"	"2[5/2]"	"2"		""	"L7292"	
"728.5301"	"0.0002"	"728.5302+"	"60"	"4.09e+06"	B	"78956.031"	"92678.516"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	"5p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		"T5099"	"L7292"	
"730.7370"	"0.0010"	"730.737+"	"5h"	""		"82430.204"	"96111.24"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	"5p5.(2P*<3/2>).8f"	"2[7/2]"	"4"		""	"L4739"	
"731.3010"	"0.0010"	"731.298+"	"1h"	""		"82430.204"	"96100.75"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	"5p5.(2P*<3/2>).8f"	"2[9/2]"	"4"		""	"L4739"	
"731.6272"	"0.0002"	"731.6272+"	"70"	""		"77185.041"	"90849.440"	"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).4f"	"2[3/2]"	"2"		""	"L7292"	
"731.6870"	"0.0010"	"731.6867+"	"20"	"2.5e+05"	C+	"77269.145"	"90932.432"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	"5p5.(2P*<3/2>).8s"	"2[3/2]*"	"1"		"T5818"	"L4739"	
"731.9940"	"0.0010"	"731.993+"	"15"	""		"81925.514"	"95583.08"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<3/2>).7f"	"2[7/2]"	"3"		""	"L4739"	
"732.1452"	"0.0002"	"732.1449+"	"80"	""		"77185.041"	"90839.777"	"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).4f"	"2[3/2]"	"1"		""	"L7292"	
"732.3050"	"0.0010"	"732.308+"	"2"	""		"81925.514"	"95577.20"	"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	"5p5.(2P*<3/2>).7f"	"2[5/2]"	"2"		""	"L4739"	
"733.6480"	"0.0002"	"733.6477+"	"50"	""		"78119.798"	"91746.564"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"3"		""	"L7292"	
"735.5580"	"0.0010"	"735.5565+"	"40"	""		"79771.267"	"93362.671"	"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	"5p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		""	"L4739"	
"738.257"	"0.020"	"738.26+"	"30"	""		"91746.564"	"105288.2"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"3"	"5p5.(2P*<1/2>).6f"	"2[7/2]"	"4"		""	"L4103"	
"738.6003"	"0.0002"	"738.6004+"	"100"	"1.25e+06"	B+	"77269.145"	"90804.538"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	"5p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T5818"	"L7292"	
"739.3793"	"0.0002"	"739.3794+"	"150"	"4.89e+06"	B	"79212.465"	"92733.597"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"		"T5099"	"L7292"	
"740.0410"	"0.0010"	"740.0398+"	"30"	""		"79212.465"	"92721.530"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"2"		""	"L4739"	
"740.4510"	"0.0010"	"740.4505+"	"12"	""		"79212.465"	"92714.038"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"1"		""	"L4739"	
"740.5770"	"0.0010"	"740.576+"	"3"	""		"80118.962"	"93618.24"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"1"		""	"L4739"	
"742.4050"	"0.0010"	"742.4037+"	"20"	"8.60e+05"	B	"79212.465"	"92678.516"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		"T5099"	"L4739"	
"744.1940"	"0.0010"	"744.1938+"	"20"	"4.7e+05"	C	"79212.465"	"92646.125"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"		"T5099"	"L4739"	
"745.1000"	"0.0010"	"745.0986+"	"25"	""		"79986.618"	"93403.966"	"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).5f"	"2[5/2]"	"2"		""	"L4739"	
"747.2010"	"0.0010"	"747.1992+"	"40"	""		"79986.618"	"93366.245"	"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		""	"L4739"	
"747.4010"	"0.0010"	"747.3989+"	"25"	""		"79986.618"	"93362.671"	"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		""	"L4739"	
"749.2230"	"0.0010"	"749.2221+"	"20"	""		"78403.061"	"91746.564"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"3"		""	"L4739"	
"750.1130"	"0.0010"	"750.1118+"	"20"	""		"78119.798"	"91447.474"	"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"2"		""	"L4739"	
"751.4540"	"0.0010"	"751.4524+"	"8"	""		"78956.031"	"92259.931"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	"5p5.(2P*<3/2>).7d"	"2[1/2]*"	"0"		""	"L4739"	
"751.4960"	"0.0010"	"751.4950+"	"3"	"2.1e+05"	C	"80118.962"	"93422.108"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	"5p5.(2P*<3/2>).9s"	"2[3/2]*"	"1"		"T5818"	"L4739"	
"755.9790"	"0.0010"	"755.9772+"	"40"	""		"80196.629"	"93420.901"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	"5p5.(2P*<3/2>).5f"	"2[7/2]"	"4"		""	"L4739"	
"757.0930"	"0.0010"	"757.0898+"	"6"	""		"80196.629"	"93401.466"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	"5p5.(2P*<3/2>).5f"	"2[5/2]"	"3"		""	"L4739"	
"758.4290"	"0.0010"	"758.4262+"	"10"	""		"80196.629"	"93378.199"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	"5p5.(2P*<3/2>).5f"	"2[9/2]"	"4"		""	"L4739"	
"758.4680"	"0.0002"	"758.4678+"	"200"	""		"80196.629"	"93377.475"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	"5p5.(2P*<3/2>).5f"	"2[9/2]"	"5"		""	"L7292"	
